제목,기자,날짜,내용
[단독] “여자화장실 휴지 썼다가 극심한 고통”…‘몰카용 본드’였다,김송현 기자(kim.songhyun@mk.co.kr),2026.04.28. 오후 1:32,"관악구 신림동 상가 화장실서

이물질 묻은 휴지 사용 후 고통

경찰 수사 이어지자 남성 자수

몰카 설치하다가 본드 묻힌듯

[Unspalsh/Jas Min]서울 관악구의 한 화..."
"기안84도 당했다…월 400억 벌던 국내 최대 불법 사이트 돌연 폐쇄, 왜?",이상규 매경 디지털뉴스룸 기자(boyondal@mk.co.kr),2026.04.28. 오후 2:40,"기안84. [사진출처 = 인스타그램]국내 최대 불법 웹툰 공유 사이트인 ‘뉴토끼’가 서비스를 자진 폐쇄했다.

뉴토끼 운영자는 27일 사이트를 통해 “서비스를 종료한다”며 “서비스..."
유튜브로 주식 공부한다던 아버지...‘정보’ 듣고 퇴직금 4억원 날렸다,신윤재 기자(shishis111@mk.co.kr),2026.04.28. 오후 2:18,"AI 24시간 모니터링 가동한 금감원

민원·제보로 접수된 피해자 분석

3대 범죄수법 공유하며 주의환기

이미지 생성=제미나이유튜브와 사회관계망서비스(SNS)에서 활동하는 이른바..."
"“中광고주들, 너무 예뻐서 못 참았다”...6년만에 한한령 뚫은 K팝 여신은",송광섭 특파원(song.kwangsub@mk.co.kr),2026.04.28. 오후 2:05,"블랙핑크 지수, 中기업과 광고 계약

‘중국판 스타벅스’ 루이싱커피 모델

2020년 리사·지드래곤 이후 처음

C뷰티 ‘BABI’는 엑소 세훈 발탁

점점 높아지는 한한령 해제 ..."
[속보] 2심 “김건희 도이치모터스 시세조종에 가담”,최종일 매경 디지털뉴스룸 기자(choi.jongil@mk.co.kr),2026.04.28. 오후 3:26,...
'제자 성폭행 혐의' 뮤지컬 배우 남경주 불구속 기소,유서현(ryush@ytn.co.kr),2026.04.28. 오후 2:14,"사진 출처 : 연합뉴스

뮤지컬 배우 남경주 씨가 제자를 성폭행한 혐의로 재판에 넘겨졌습니다.

서울중앙지방검찰청은 지난 24일 피감독자간음 혐의로 남 씨를 불구속 기소했습니다.
..."
'대변인은 알고 있었다?' 온라인서 퍼지는 '만찬 총격 음모론' [앵커리포트],나경철(nkc8001@ytn.co.kr),2026.04.28. 오후 1:59,"이런 가운데, 미국 내 소셜미디어에서는 이번 만찬장 총격 사건에 대한 각종 음모론이 끊이지 않고 있습니다.

백악관 인사들의 말과 행동이 문제가 된 건데, 어떤 내용인지 보겠습니다..."
상가 화장실 휴지 썼다가 비명...알고 보니 '몰카 설치용 본드',류청희(chee0909@ytn.co.kr),2026.04.28. 오후 3:24,"ⓒ 게티이미지뱅크

서울 관악구 신림동의 한 상가 화장실에서 비치된 휴지를 사용한 여성이 극심한 통증을 호소하며 병원으로 이송되는 사건이 발생해 경찰이 수사에 나섰다.

28일 매..."
잠시 뒤 김건희 항소심 선고...오후 3시 YTN 생중계,박광렬(parkkr0824@ytn.co.kr),2026.04.28. 오후 2:31,"[앵커]

주가조작과 통일교 금품 수수 등 혐의를 받는 김건희 씨에 대한 항소심 선고가 잠시 뒤 나옵니다.

도이치모터스 주가조작 혐의 관련 1심의 무죄 판단이 뒤집힐지 관심이 쏠..."
"""이 한우국밥 먹지 마세요""...식중독균 검출 회수 조치",이유나(lyn@ytn.co.kr),2026.04.28. 오후 3:16,...
"박민식, 북갑 노린 하정우·한동훈에 “2년 뒤 떠날 메뚜기 정치”",박준상 기자(junwith@kmib.co.kr),2026.04.28. 오전 11:27,“북구에 진심 없어… 버릴 준비 뿐” 부산 북갑 국회의원 보궐선거에서 국민의힘 공천을 바라는 박민식 전 국가보훈부 장관과 무속소 출마를 공식화 한 한동훈 전 국민의힘 대표가 26일...
이화영 측 “술파티 진실 온국민 봐야”…검찰은 부정적,수원=강희청 기자(kanghc@kmib.co.kr),2026.04.28. 오후 3:15,검사실 술파티 의혹과 관련해 이화영 전 경기도 평화부지사 측이 술파티 진실을 온국민 봐야한다며 국민참여재판 심리 과정의 생중계 방송을 재판부에 요청했다. 이에 반해 검찰은 재판의 ...
"[속보] 고법 “김건희, 도이치모터스 시세조종 가담… 공동정범”",송경모 기자(ssong@kmib.co.kr),2026.04.28. 오후 3:40,...
"넷플릭스, 韓 법인세 소송 사실상 승소…“687억 취소”",백재연 기자(energy@kmib.co.kr),2026.04.28. 오후 2:53,글로벌 동영상 스트리밍(OTT) 기업 넷플릭스의 한국 법인이 세무당국과 벌여온 법인세 소송에서 사실상 승소했다. 법원은 넷플릭스코리아에 부과된 세금 762억원 중 687억원을 취소...
‘김창민 영화감독 상해치사’ 피의자 2명 구속영장 청구,남양주=박재구 기자(park9@kmib.co.kr),2026.04.28. 오전 11:38,"영화감독 김창민 영정. 페이스북 캡처

검찰이 김창민 영화감독을 폭행해 숨지게 한 혐의를 받는 피의자 2명에 대해 구속영장을 청구했다.

‘김창민 영화감독 상해치사 사건’ 전담 수..."
“혈관·뼈 망가뜨린다” 라면과 ‘이것’ 함께 먹지 말아야… 뭘까?,유예진 기자  yyj@chosun.com,2026.04.28. 오전 1:01,"라면은 조리가 간편하다는 장점이 있지만, 나트륨과 각종 첨가물이 많아 섭취 시 주의가 필요하다./사진=클립아트코리아

‘한국인의 소울 푸드’로 불리는 라면은 오랜 시간 많은 사람들..."
"“매일 먹었는데”… 혈당 흔드는 ‘이 음식’, 정체는?",이아라 기자  lar@chosun.com,2026.04.28. 오전 4:41,"강남세브란스병원 내분비내과 안철우 교수가 혈당이 오를 수 있는 음식을 꼽았다./사진=클립아트코리아

강남세브란스병원 내분비내과 안철우 교수가 혈당이 오를 수 있는 음식을 꼽았다.
..."
‘전립선암’ 부르는 최악의 음식 2가지,김경림 기자 kkl@chosun.com,2026.04.28. 오전 7:01,"육류를 굽는 조리법은 전립선암 위험을 높인다. /사진=클립아트코리아

남성암 중에서도 전립선암을 특히 조심해야 한다. 지난 1월 보건복지부 중앙암등록본부가 발표한 자료에 따르면 2..."
"“주위에서 못 알아봐”… 70kg 감량한 20대 女, ‘이렇게’ 성공",이아라 기자  lar@chosun.com,2026.04.28. 오후 2:33,"[해외토픽] 70kg 감량에 성공한 20대 여성이 사연이 공개됐다./사진=니드투노우

70kg 감량에 성공한 20대 여성이 사연이 공개됐다.

지난 27일(현지시각) 외신 매체 니..."
"‘22kg 감량’ 심진화, “결혼 후 75kg까지 쪘다”… 어떻게 뺐나 보니?",이아라 기자  lar@chosun.com,2026.04.28. 오전 3:01,"[스타의 건강] 심진화가 식전 채소 섭취, 실내 자전거 운동을 하며 결혼 후 22kg을 감량했다고 밝혔다./사진=유튜브'유정 그리고 주정'캡처

개그우먼 심진화(45)가 결혼 후 ..."
